business_id,business_name,industry_id,industry,region_id,region,state,city_tier,years_in_business,revenue_band,estimated_monthly_revenue_band_midpoint,employee_count_base,legal_structure,credit_score_band_at_origination,has_prior_delinquency,owner_experience_years,online_sales_share,relationship_manager_id,onboarding_date,primary_bank_account_type
B00013,Business 00013,IND04,Manufacturing,R05,Pacific Northwest,WA,Tier 3,20,250K-500K,35000,5,S-Corp,760+,0,27,0.464,RM025,2022-09-01,operating
B00014,Business 00014,IND10,Personal Services,R01,Northeast,NY,Tier 1,8,250K-500K,35000,3,Partnership,680-719,0,30,0.479,RM039,2023-07-11,operating
B00015,Business 00015,IND05,Healthcare Clinics,R05,Pacific Northwest,WA,Tier 2,20,500K-1M,70000,6,C-Corp,580-639,1,11,0.475,RM053,2023-03-16,operating
B00016,Business 00016,IND07,Transportation & Logistics,R04,West,CA,Tier 3,12,1M-3M,165000,15,C-Corp,640-679,0,12,0.019,RM031,2022-03-08,operating
B00017,Business 00017,IND12,Hospitality & Travel,R01,Northeast,NY,Tier 2,3,1M-3M,165000,14,C-Corp,680-719,1,8,0.306,RM041,2022-01-31,operating
B00018,Business 00018,IND02,Retail Stores,R03,South,TX,Tier 3,11,<250K,15000,3,C-Corp,680-719,0,23,0.101,RM015,2022-09-23,operating
B00019,Business 00019,IND11,Education & Training,R03,South,TX,Tier 2,12,250K-500K,35000,3,LLC,680-719,0,23,0.58,RM044,2023-12-26,merchant
B00020,Business 00020,IND02,Retail Stores,R04,West,CA,Tier 3,13,<250K,15000,2,LLC,680-719,0,9,0.077,RM051,2022-05-21,operating
B00021,Business 00021,IND11,Education & Training,R01,Northeast,NY,Tier 1,8,250K-500K,35000,4,LLC,680-719,0,28,0.476,RM009,2022-07-27,mixed
B00022,Business 00022,IND07,Transportation & Logistics,R01,Northeast,NY,Tier 2,20,250K-500K,35000,5,S-Corp,680-719,0,2,0.165,RM019,2023-07-06,operating
B00023,Business 00023,IND02,Retail Stores,R01,Northeast,NY,Tier 3,4,1M-3M,165000,19,S-Corp,640-679,0,12,0.015,RM032,2022-10-27,mixed
B00024,Business 00024,IND06,Professional Services,R01,Northeast,NY,Tier 3,19,1M-3M,165000,9,Sole Proprietor,720-759,0,5,0.348,RM030,2023-03-28,merchant
B00025,Business 00025,IND04,Manufacturing,R06,Mountain,CO,Tier 1,13,<250K,15000,3,LLC,720-759,0,9,0.122,RM008,2023-04-16,merchant
B00026,Business 00026,IND11,Education & Training,R03,South,TX,Tier 2,1,500K-1M,70000,10,LLC,640-679,1,17,0.142,RM009,2022-01-26,merchant
B00027,Business 00027,IND03,Construction Services,R01,Northeast,NY,Tier 1,4,500K-1M,70000,6,Sole Proprietor,640-679,0,5,0.267,RM039,2022-06-19,operating
B00028,Business 00028,IND03,Construction Services,R02,Midwest,IL,Tier 1,20,500K-1M,70000,8,LLC,680-719,1,26,0.014,RM026,2022-10-19,operating
B00029,Business 00029,IND10,Personal Services,R01,Northeast,NY,Tier 2,15,500K-1M,70000,5,LLC,760+,0,19,0.061,RM034,2022-03-17,operating
B00030,Business 00030,IND03,Construction Services,R01,Northeast,NY,Tier 1,3,250K-500K,35000,3,LLC,680-719,0,18,0.196,RM054,2023-04-17,operating
B00031,Business 00031,IND11,Education & Training,R04,West,CA,Tier 1,16,250K-500K,35000,6,C-Corp,680-719,0,21,0.211,RM046,2023-04-18,operating
B00032,Business 00032,IND09,Wholesale Distribution,R04,West,CA,Tier 3,14,500K-1M,70000,10,C-Corp,760+,0,19,0.123,RM023,2022-05-05,operating
B00033,Business 00033,IND04,Manufacturing,R02,Midwest,IL,Tier 3,17,1M-3M,165000,15,LLC,760+,0,13,0.13,RM004,2022-02-15,merchant
B00034,Business 00034,IND03,Construction Services,R06,Mountain,CO,Tier 3,12,250K-500K,35000,3,Sole Proprietor,680-719,1,9,0.272,RM015,2023-04-09,operating
B00035,Business 00035,IND02,Retail Stores,R05,Pacific Northwest,WA,Tier 2,1,1M-3M,165000,21,LLC,580-639,1,2,0.129,RM012,2022-01-18,merchant
B00036,Business 00036,IND05,Healthcare Clinics,R03,South,TX,Tier 2,19,250K-500K,35000,5,LLC,640-679,0,20,0.372,RM032,2023-08-03,operating
B00037,Business 00037,IND11,Education & Training,R03,South,TX,Tier 2,20,250K-500K,35000,4,LLC,720-759,1,7,0.255,RM030,2022-08-09,operating
B00038,Business 00038,IND05,Healthcare Clinics,R02,Midwest,IL,Tier 1,3,<250K,15000,2,Sole Proprietor,680-719,0,22,0.138,RM037,2022-01-15,merchant
B00039,Business 00039,IND05,Healthcare Clinics,R04,West,CA,Tier 2,2,500K-1M,70000,6,LLC,760+,0,26,0.518,RM025,2022-02-04,operating
B00040,Business 00040,IND06,Professional Services,R06,Mountain,CO,Tier 2,6,1M-3M,165000,14,Partnership,720-759,0,6,0.148,RM058,2022-10-10,mixed
B00041,Business 00041,IND07,Transportation & Logistics,R05,Pacific Northwest,WA,Tier 2,1,500K-1M,70000,5,LLC,640-679,1,1,0.183,RM025,2023-11-14,operating
B00042,Business 00042,IND07,Transportation & Logistics,R03,South,TX,Tier 2,15,250K-500K,35000,4,LLC,720-759,0,27,0.105,RM015,2023-06-27,mixed
B00043,Business 00043,IND03,Construction Services,R06,Mountain,CO,Tier 3,14,500K-1M,70000,6,Sole Proprietor,640-679,1,6,0.224,RM051,2022-03-12,merchant
B00044,Business 00044,IND09,Wholesale Distribution,R02,Midwest,IL,Tier 3,5,<250K,15000,2,C-Corp,720-759,0,9,0.428,RM053,2022-03-25,merchant
B00045,Business 00045,IND07,Transportation & Logistics,R02,Midwest,IL,Tier 3,4,<250K,15000,2,LLC,680-719,0,23,0.079,RM014,2023-01-30,operating
B00046,Business 00046,IND02,Retail Stores,R05,Pacific Northwest,WA,Tier 1,3,500K-1M,70000,6,S-Corp,640-679,1,2,0.416,RM043,2022-03-19,merchant
B00047,Business 00047,IND01,Restaurants & Food Service,R04,West,CA,Tier 3,17,3M-10M,430000,24,C-Corp,580-639,1,20,0.53,RM033,2023-09-18,merchant
B00048,Business 00048,IND02,Retail Stores,R06,Mountain,CO,Tier 1,17,250K-500K,35000,4,LLC,680-719,0,12,0.107,RM024,2023-05-21,merchant
B00049,Business 00049,IND04,Manufacturing,R02,Midwest,IL,Tier 1,5,250K-500K,35000,4,LLC,640-679,0,7,0.545,RM057,2023-06-21,operating
B00050,Business 00050,IND04,Manufacturing,R01,Northeast,NY,Tier 1,3,<250K,15000,3,LLC,640-679,1,30,0.38,RM030,2023-10-11,merchant
B00051,Business 00051,IND11,Education & Training,R04,West,CA,Tier 2,13,250K-500K,35000,4,LLC,760+,0,23,0.521,RM040,2023-09-17,operating
B00052,Business 00052,IND03,Construction Services,R02,Midwest,IL,Tier 3,14,500K-1M,70000,6,Sole Proprietor,680-719,0,25,0.023,RM042,2023-02-10,operating
B00053,Business 00053,IND02,Retail Stores,R05,Pacific Northwest,WA,Tier 2,3,1M-3M,165000,12,LLC,640-679,1,28,0.502,RM060,2022-04-25,merchant
B00054,Business 00054,IND11,Education & Training,R04,West,CA,Tier 1,15,<250K,15000,2,C-Corp,680-719,0,18,0.349,RM045,2023-08-13,merchant
B00055,Business 00055,IND01,Restaurants & Food Service,R02,Midwest,IL,Tier 2,4,1M-3M,165000,13,C-Corp,680-719,1,15,0.538,RM043,2023-07-23,operating
B00056,Business 00056,IND07,Transportation & Logistics,R01,Northeast,NY,Tier 2,2,<250K,15000,3,LLC,640-679,0,16,0.389,RM002,2023-02-14,operating
B00057,Business 00057,IND04,Manufacturing,R05,Pacific Northwest,WA,Tier 3,11,500K-1M,70000,5,LLC,680-719,0,25,0.083,RM054,2023-01-14,merchant
B00058,Business 00058,IND04,Manufacturing,R01,Northeast,NY,Tier 2,15,<250K,15000,3,LLC,580-639,1,21,0.429,RM011,2023-12-28,operating
B00059,Business 00059,IND12,Hospitality & Travel,R06,Mountain,CO,Tier 2,20,3M-10M,430000,38,Sole Proprietor,680-719,1,1,0.249,RM003,2023-03-02,merchant
B00060,Business 00060,IND06,Professional Services,R04,West,CA,Tier 2,9,3M-10M,430000,27,Partnership,680-719,0,22,0.595,RM059,2023-09-12,operating
B00061,Business 00061,IND10,Personal Services,R03,South,TX,Tier 2,11,<250K,15000,3,Sole Proprietor,680-719,1,16,0.574,RM003,2023-06-03,operating
B00062,Business 00062,IND06,Professional Services,R04,West,CA,Tier 3,18,500K-1M,70000,8,C-Corp,680-719,1,1,0.431,RM015,2022-09-13,operating
B00063,Business 00063,IND10,Personal Services,R04,West,CA,Tier 3,15,250K-500K,35000,3,S-Corp,640-679,0,17,0.066,RM042,2023-12-24,merchant
B00064,Business 00064,IND07,Transportation & Logistics,R01,Northeast,NY,Tier 2,8,1M-3M,165000,9,Partnership,680-719,0,30,0.186,RM003,2022-07-16,operating
B00065,Business 00065,IND11,Education & Training,R04,West,CA,Tier 2,10,250K-500K,35000,5,LLC,680-719,0,30,0.123,RM015,2022-11-29,merchant
B00066,Business 00066,IND12,Hospitality & Travel,R02,Midwest,IL,Tier 3,11,250K-500K,35000,4,LLC,680-719,0,4,0.473,RM047,2023-07-24,operating
B00067,Business 00067,IND02,Retail Stores,R06,Mountain,CO,Tier 2,4,1M-3M,165000,11,S-Corp,640-679,1,7,0.145,RM032,2022-03-14,merchant
B00068,Business 00068,IND07,Transportation & Logistics,R04,West,CA,Tier 2,16,500K-1M,70000,5,C-Corp,640-679,0,3,0.465,RM055,2023-01-12,operating
B00069,Business 00069,IND06,Professional Services,R06,Mountain,CO,Tier 3,10,3M-10M,430000,37,LLC,680-719,0,10,0.011,RM023,2022-05-19,operating
B00070,Business 00070,IND06,Professional Services,R04,West,CA,Tier 3,6,250K-500K,35000,5,Partnership,640-679,0,10,0.336,RM010,2023-07-04,merchant
B00071,Business 00071,IND02,Retail Stores,R03,South,TX,Tier 2,15,250K-500K,35000,4,Sole Proprietor,720-759,0,10,0.079,RM059,2023-09-25,operating
B00072,Business 00072,IND04,Manufacturing,R03,South,TX,Tier 2,4,1M-3M,165000,10,C-Corp,680-719,0,17,0.085,RM033,2023-10-17,operating
B00073,Business 00073,IND12,Hospitality & Travel,R05,Pacific Northwest,WA,Tier 3,17,250K-500K,35000,4,LLC,720-759,0,15,0.293,RM011,2022-05-24,merchant
B00074,Business 00074,IND12,Hospitality & Travel,R03,South,TX,Tier 2,4,500K-1M,70000,9,LLC,720-759,1,8,0.089,RM038,2023-04-14,operating
B00075,Business 00075,IND12,Hospitality & Travel,R03,South,TX,Tier 3,5,250K-500K,35000,4,Sole Proprietor,760+,0,5,0.401,RM051,2022-05-24,merchant
B00076,Business 00076,IND07,Transportation & Logistics,R06,Mountain,CO,Tier 2,2,250K-500K,35000,5,C-Corp,720-759,0,28,0.55,RM041,2023-06-06,operating
B00077,Business 00077,IND06,Professional Services,R05,Pacific Northwest,WA,Tier 1,13,<250K,15000,3,Sole Proprietor,680-719,1,11,0.383,RM016,2023-02-03,operating
B00078,Business 00078,IND11,Education & Training,R01,Northeast,NY,Tier 1,12,500K-1M,70000,5,LLC,580-639,1,8,0.525,RM023,2022-04-16,operating
B00079,Business 00079,IND11,Education & Training,R04,West,CA,Tier 3,14,1M-3M,165000,10,S-Corp,760+,0,13,0.432,RM041,2022-04-24,operating
B00080,Business 00080,IND03,Construction Services,R01,Northeast,NY,Tier 3,15,250K-500K,35000,3,Sole Proprietor,720-759,0,2,0.487,RM009,2023-02-06,merchant
B00081,Business 00081,IND11,Education & Training,R03,South,TX,Tier 3,3,500K-1M,70000,5,LLC,680-719,0,7,0.497,RM017,2023-07-04,operating
B00082,Business 00082,IND05,Healthcare Clinics,R02,Midwest,IL,Tier 1,5,250K-500K,35000,4,Partnership,720-759,0,22,0.364,RM027,2022-04-04,operating
B00083,Business 00083,IND09,Wholesale Distribution,R06,Mountain,CO,Tier 3,16,500K-1M,70000,9,C-Corp,680-719,0,7,0.028,RM044,2023-12-23,operating
B00084,Business 00084,IND03,Construction Services,R04,West,CA,Tier 3,18,3M-10M,430000,23,LLC,580-639,0,23,0.358,RM022,2023-04-23,mixed
B00085,Business 00085,IND02,Retail Stores,R01,Northeast,NY,Tier 2,9,1M-3M,165000,12,Sole Proprietor,680-719,0,3,0.339,RM010,2023-10-11,merchant
B00086,Business 00086,IND01,Restaurants & Food Service,R02,Midwest,IL,Tier 2,3,<250K,15000,2,LLC,680-719,1,20,0.05,RM048,2022-02-09,operating
B00087,Business 00087,IND08,E-commerce Sellers,R05,Pacific Northwest,WA,Tier 1,15,1M-3M,165000,15,LLC,580-639,1,21,0.259,RM026,2023-02-15,operating
B00088,Business 00088,IND06,Professional Services,R04,West,CA,Tier 2,17,1M-3M,165000,21,LLC,760+,0,29,0.101,RM018,2022-03-07,merchant
B00089,Business 00089,IND12,Hospitality & Travel,R03,South,TX,Tier 3,4,250K-500K,35000,5,C-Corp,640-679,0,17,0.357,RM040,2023-01-25,operating
B00090,Business 00090,IND07,Transportation & Logistics,R04,West,CA,Tier 2,20,500K-1M,70000,5,LLC,640-679,0,25,0.597,RM010,2023-01-09,merchant
B00091,Business 00091,IND05,Healthcare Clinics,R04,West,CA,Tier 3,11,3M-10M,430000,25,Partnership,680-719,0,24,0.527,RM056,2022-10-05,merchant
B00092,Business 00092,IND11,Education & Training,R02,Midwest,IL,Tier 1,4,500K-1M,70000,7,LLC,640-679,0,23,0.419,RM015,2023-01-24,merchant
B00093,Business 00093,IND01,Restaurants & Food Service,R05,Pacific Northwest,WA,Tier 3,9,3M-10M,430000,29,S-Corp,640-679,1,5,0.379,RM008,2022-09-20,operating
B00094,Business 00094,IND06,Professional Services,R01,Northeast,NY,Tier 2,12,3M-10M,430000,26,S-Corp,640-679,0,30,0.419,RM025,2022-05-27,operating
B00095,Business 00095,IND05,Healthcare Clinics,R02,Midwest,IL,Tier 1,16,1M-3M,165000,9,Partnership,760+,0,11,0.297,RM045,2022-02-17,operating
B00096,Business 00096,IND08,E-commerce Sellers,R04,West,CA,Tier 2,11,3M-10M,430000,27,C-Corp,760+,0,20,0.695,RM009,2022-06-07,merchant
B00097,Business 00097,IND11,Education & Training,R03,South,TX,Tier 1,16,500K-1M,70000,8,S-Corp,720-759,0,3,0.488,RM053,2022-09-06,operating
B00098,Business 00098,IND02,Retail Stores,R05,Pacific Northwest,WA,Tier 1,16,1M-3M,165000,10,LLC,680-719,0,18,0.222,RM039,2022-09-08,merchant
B00099,Business 00099,IND03,Construction Services,R03,South,TX,Tier 3,17,3M-10M,430000,31,Sole Proprietor,720-759,0,4,0.19,RM005,2023-04-29,merchant
B00100,Business 00100,IND01,Restaurants & Food Service,R01,Northeast,NY,Tier 3,4,<250K,15000,3,LLC,640-679,0,7,0.12,RM044,2023-12-26,merchant
B00101,Business 00101,IND02,Retail Stores,R03,South,TX,Tier 2,16,250K-500K,35000,3,Partnership,760+,0,2,0.237,RM013,2022-06-07,operating
B00102,Business 00102,IND02,Retail Stores,R06,Mountain,CO,Tier 2,16,1M-3M,165000,16,LLC,640-679,0,23,0.569,RM036,2023-06-29,operating
B00103,Business 00103,IND01,Restaurants & Food Service,R01,Northeast,NY,Tier 2,14,500K-1M,70000,5,Partnership,680-719,0,25,0.262,RM037,2022-08-21,operating
B00104,Business 00104,IND01,Restaurants & Food Service,R02,Midwest,IL,Tier 2,16,500K-1M,70000,5,Sole Proprietor,680-719,0,8,0.267,RM007,2023-12-07,merchant
B00105,Business 00105,IND02,Retail Stores,R01,Northeast,NY,Tier 3,1,500K-1M,70000,9,Sole Proprietor,640-679,0,20,0.312,RM044,2022-08-17,merchant
B00106,Business 00106,IND11,Education & Training,R02,Midwest,IL,Tier 1,12,1M-3M,165000,19,Partnership,580-639,1,18,0.064,RM011,2022-04-10,merchant
B00107,Business 00107,IND03,Construction Services,R03,South,TX,Tier 3,8,<250K,15000,3,Sole Proprietor,760+,0,28,0.133,RM034,2023-02-01,merchant
B00108,Business 00108,IND12,Hospitality & Travel,R02,Midwest,IL,Tier 1,8,<250K,15000,3,LLC,640-679,0,7,0.556,RM056,2022-10-18,operating
B00109,Business 00109,IND04,Manufacturing,R01,Northeast,NY,Tier 3,13,500K-1M,70000,5,Partnership,720-759,0,10,0.007,RM050,2023-01-23,operating
B00110,Business 00110,IND05,Healthcare Clinics,R02,Midwest,IL,Tier 3,3,<250K,15000,3,S-Corp,680-719,1,25,0.292,RM034,2023-10-25,operating
B00111,Business 00111,IND12,Hospitality & Travel,R06,Mountain,CO,Tier 3,1,500K-1M,70000,5,S-Corp,680-719,1,18,0.154,RM030,2023-04-13,operating
B00112,Business 00112,IND01,Restaurants & Food Service,R05,Pacific Northwest,WA,Tier 3,11,<250K,15000,3,LLC,580-639,1,17,0.372,RM023,2022-09-11,operating
B00113,Business 00113,IND07,Transportation & Logistics,R06,Mountain,CO,Tier 3,15,500K-1M,70000,8,LLC,580-639,0,27,0.12,RM059,2022-09-17,operating
B00114,Business 00114,IND10,Personal Services,R05,Pacific Northwest,WA,Tier 3,6,250K-500K,35000,4,Sole Proprietor,640-679,0,19,0.49,RM002,2022-04-13,operating
B00115,Business 00115,IND10,Personal Services,R06,Mountain,CO,Tier 2,10,3M-10M,430000,33,S-Corp,720-759,0,7,0.05,RM016,2023-09-23,operating
B00116,Business 00116,IND11,Education & Training,R02,Midwest,IL,Tier 3,1,500K-1M,70000,5,Sole Proprietor,580-639,1,7,0.346,RM028,2023-06-13,operating
B00117,Business 00117,IND03,Construction Services,R03,South,TX,Tier 2,20,1M-3M,165000,10,Sole Proprietor,720-759,0,17,0.206,RM042,2023-08-26,merchant
B00118,Business 00118,IND04,Manufacturing,R05,Pacific Northwest,WA,Tier 3,20,1M-3M,165000,21,Sole Proprietor,680-719,1,29,0.303,RM056,2022-06-17,operating
B00119,Business 00119,IND11,Education & Training,R01,Northeast,NY,Tier 2,5,250K-500K,35000,4,LLC,640-679,0,8,0.455,RM023,2023-01-20,operating
B00120,Business 00120,IND05,Healthcare Clinics,R04,West,CA,Tier 2,8,1M-3M,165000,10,Partnership,680-719,0,12,0.59,RM055,2023-11-28,operating
B00121,Business 00121,IND12,Hospitality & Travel,R05,Pacific Northwest,WA,Tier 1,19,500K-1M,70000,10,Partnership,680-719,1,30,0.003,RM020,2023-01-27,operating
B00122,Business 00122,IND06,Professional Services,R06,Mountain,CO,Tier 3,4,250K-500K,35000,3,Sole Proprietor,720-759,0,6,0.562,RM041,2022-10-17,operating
B00123,Business 00123,IND11,Education & Training,R04,West,CA,Tier 1,6,1M-3M,165000,13,C-Corp,760+,0,19,0.505,RM049,2023-01-31,operating
B00124,Business 00124,IND03,Construction Services,R01,Northeast,NY,Tier 3,12,<250K,15000,2,LLC,640-679,0,26,0.405,RM005,2023-02-14,merchant
B00125,Business 00125,IND03,Construction Services,R03,South,TX,Tier 1,17,1M-3M,165000,20,LLC,680-719,0,1,0.524,RM051,2022-02-07,merchant
B00126,Business 00126,IND08,E-commerce Sellers,R05,Pacific Northwest,WA,Tier 2,12,250K-500K,35000,4,Sole Proprietor,680-719,0,30,0.653,RM028,2022-03-24,operating
B00127,Business 00127,IND04,Manufacturing,R04,West,CA,Tier 2,5,500K-1M,70000,5,Sole Proprietor,580-639,1,5,0.033,RM020,2022-08-15,mixed
B00128,Business 00128,IND10,Personal Services,R05,Pacific Northwest,WA,Tier 1,15,250K-500K,35000,3,Sole Proprietor,680-719,0,27,0.146,RM012,2022-06-14,operating
B00129,Business 00129,IND11,Education & Training,R02,Midwest,IL,Tier 3,2,<250K,15000,2,LLC,760+,0,23,0.463,RM054,2022-12-30,operating
B00130,Business 00130,IND02,Retail Stores,R01,Northeast,NY,Tier 1,10,<250K,15000,3,C-Corp,680-719,0,4,0.467,RM053,2022-03-12,merchant
B00131,Business 00131,IND02,Retail Stores,R03,South,TX,Tier 3,19,250K-500K,35000,3,Sole Proprietor,720-759,0,26,0.231,RM050,2022-04-15,merchant
B00132,Business 00132,IND11,Education & Training,R03,South,TX,Tier 2,17,1M-3M,165000,21,LLC,580-639,0,23,0.503,RM057,2023-05-18,operating
B00133,Business 00133,IND05,Healthcare Clinics,R02,Midwest,IL,Tier 2,6,500K-1M,70000,8,S-Corp,580-639,0,30,0.013,RM057,2022-01-28,operating
B00134,Business 00134,IND10,Personal Services,R03,South,TX,Tier 1,8,250K-500K,35000,4,LLC,720-759,0,21,0.408,RM035,2023-11-26,operating
B00135,Business 00135,IND06,Professional Services,R03,South,TX,Tier 3,6,1M-3M,165000,11,LLC,580-639,0,22,0.507,RM020,2022-07-21,operating
B00136,Business 00136,IND08,E-commerce Sellers,R06,Mountain,CO,Tier 2,1,3M-10M,430000,20,C-Corp,720-759,0,4,0.541,RM026,2023-05-01,merchant
B00137,Business 00137,IND04,Manufacturing,R05,Pacific Northwest,WA,Tier 3,14,<250K,15000,2,C-Corp,720-759,0,16,0.073,RM025,2023-10-20,operating
B00138,Business 00138,IND04,Manufacturing,R01,Northeast,NY,Tier 1,19,<250K,15000,2,LLC,720-759,0,16,0.557,RM010,2023-08-16,operating
B00139,Business 00139,IND05,Healthcare Clinics,R06,Mountain,CO,Tier 1,9,500K-1M,70000,5,C-Corp,580-639,1,24,0.218,RM034,2022-01-15,merchant
B00140,Business 00140,IND09,Wholesale Distribution,R03,South,TX,Tier 2,4,1M-3M,165000,10,C-Corp,680-719,0,15,0.028,RM054,2022-08-20,operating
B00141,Business 00141,IND05,Healthcare Clinics,R04,West,CA,Tier 2,16,3M-10M,430000,22,C-Corp,580-639,0,3,0.167,RM009,2022-08-14,operating
B00142,Business 00142,IND01,Restaurants & Food Service,R02,Midwest,IL,Tier 3,20,250K-500K,35000,6,S-Corp,720-759,0,22,0.109,RM047,2023-10-25,operating
B00143,Business 00143,IND12,Hospitality & Travel,R06,Mountain,CO,Tier 2,1,250K-500K,35000,4,LLC,640-679,0,10,0.572,RM008,2022-09-16,operating
B00144,Business 00144,IND10,Personal Services,R04,West,CA,Tier 2,8,3M-10M,430000,45,C-Corp,680-719,1,23,0.548,RM028,2023-09-22,operating
B00145,Business 00145,IND07,Transportation & Logistics,R06,Mountain,CO,Tier 3,12,250K-500K,35000,3,Sole Proprietor,580-639,1,24,0.311,RM009,2023-02-18,operating
B00146,Business 00146,IND12,Hospitality & Travel,R05,Pacific Northwest,WA,Tier 1,3,250K-500K,35000,3,Sole Proprietor,680-719,0,11,0.429,RM015,2023-06-03,mixed
B00147,Business 00147,IND06,Professional Services,R01,Northeast,NY,Tier 1,14,500K-1M,70000,7,Partnership,680-719,0,8,0.3,RM029,2022-03-16,merchant
B00148,Business 00148,IND08,E-commerce Sellers,R02,Midwest,IL,Tier 2,17,3M-10M,430000,22,LLC,640-679,0,5,0.646,RM010,2023-01-11,merchant
B00149,Business 00149,IND12,Hospitality & Travel,R04,West,CA,Tier 3,13,250K-500K,35000,4,Sole Proprietor,680-719,1,12,0.253,RM041,2023-03-02,operating
B00150,Business 00150,IND08,E-commerce Sellers,R03,South,TX,Tier 1,17,500K-1M,70000,5,Partnership,720-759,1,12,0.879,RM050,2023-10-11,merchant
B00151,Business 00151,IND01,Restaurants & Food Service,R02,Midwest,IL,Tier 1,18,250K-500K,35000,4,C-Corp,760+,0,16,0.039,RM013,2023-10-12,operating
B00152,Business 00152,IND01,Restaurants & Food Service,R06,Mountain,CO,Tier 3,2,250K-500K,35000,4,C-Corp,720-759,0,21,0.069,RM044,2022-05-25,operating
B00153,Business 00153,IND02,Retail Stores,R03,South,TX,Tier 2,12,500K-1M,70000,5,C-Corp,680-719,0,7,0.426,RM047,2023-11-09,operating
B00154,Business 00154,IND01,Restaurants & Food Service,R06,Mountain,CO,Tier 3,1,3M-10M,430000,22,Sole Proprietor,680-719,0,14,0.037,RM008,2022-02-18,operating
B00155,Business 00155,IND02,Retail Stores,R06,Mountain,CO,Tier 1,18,250K-500K,35000,3,S-Corp,640-679,0,18,0.523,RM034,2022-08-13,operating
B00156,Business 00156,IND07,Transportation & Logistics,R05,Pacific Northwest,WA,Tier 2,11,500K-1M,70000,10,Sole Proprietor,680-719,0,14,0.1,RM047,2023-06-11,operating
B00157,Business 00157,IND10,Personal Services,R02,Midwest,IL,Tier 2,3,<250K,15000,3,LLC,640-679,1,28,0.378,RM050,2023-09-15,merchant
B00158,Business 00158,IND08,E-commerce Sellers,R04,West,CA,Tier 3,3,500K-1M,70000,9,S-Corp,580-639,1,25,0.298,RM006,2022-04-13,operating
B00159,Business 00159,IND06,Professional Services,R01,Northeast,NY,Tier 2,11,<250K,15000,3,S-Corp,680-719,0,7,0.413,RM013,2022-06-10,merchant
B00160,Business 00160,IND10,Personal Services,R03,South,TX,Tier 1,16,3M-10M,430000,22,S-Corp,580-639,0,23,0.353,RM034,2023-06-07,operating
B00161,Business 00161,IND01,Restaurants & Food Service,R01,Northeast,NY,Tier 2,10,<250K,15000,2,S-Corp,720-759,0,23,0.492,RM018,2022-08-10,operating
B00162,Business 00162,IND03,Construction Services,R03,South,TX,Tier 2,19,3M-10M,430000,41,C-Corp,680-719,0,7,0.056,RM029,2022-10-15,operating
B00163,Business 00163,IND11,Education & Training,R06,Mountain,CO,Tier 2,17,250K-500K,35000,4,LLC,580-639,1,22,0.548,RM019,2023-12-13,operating
B00164,Business 00164,IND01,Restaurants & Food Service,R05,Pacific Northwest,WA,Tier 2,9,1M-3M,165000,19,Sole Proprietor,680-719,0,13,0.584,RM019,2022-06-12,merchant
B00165,Business 00165,IND02,Retail Stores,R05,Pacific Northwest,WA,Tier 2,14,250K-500K,35000,4,Partnership,640-679,0,27,0.327,RM031,2022-01-23,merchant
