loan_id,business_id,product_type,loan_amount,start_date,interest_rate,loan_term_months,maturity_date,collateral_type,secured_flag,origination_channel,underwriting_score_band,initial_risk_grade
L000084,B01144,Invoice Financing,110249.52,2024-11-24,0.0705,36,2027-11-09,equipment,0,online,720-759,B
L000085,B00271,Equipment Loan,68359.27,2024-04-15,0.0739,36,2027-03-31,equipment,1,partner,760+,B
L000086,B01404,Term Loan,60869.85,2023-12-26,0.1219,12,2024-12-20,equipment,1,partner,640-679,C
L000087,B00075,Invoice Financing,47305.02,2024-11-05,0.0557,24,2026-10-26,receivables,1,branch,760+,C
L000088,B00331,Equipment Loan,389081.9,2024-12-13,0.0687,24,2026-12-03,equipment,0,branch,760+,B
L000089,B00347,Merchant Cash Advance,56464.39,2024-05-11,0.1049,24,2026-05-01,receivables,1,branch,680-719,D
L000090,B00105,Revolving Credit,226300.53,2024-10-15,0.1212,48,2028-09-24,equipment,1,relationship_manager,640-679,C
L000091,B00395,Term Loan,354403.95,2024-09-11,0.1381,24,2026-09-01,receivables,0,partner,580-639,B
L000092,B00087,Merchant Cash Advance,221857.88,2023-05-21,0.1527,24,2025-05-10,receivables,1,branch,580-639,B
L000093,B00103,Term Loan,312016.41,2023-09-27,0.0877,18,2025-03-20,receivables,1,branch,680-719,C
L000094,B01103,Revolving Credit,1200000.0,2024-04-27,0.0703,18,2025-10-19,equipment,1,online,720-759,C
L000095,B00067,Term Loan,405225.07,2024-05-04,0.1159,36,2027-04-19,receivables,0,partner,640-679,B
L000096,B00587,Term Loan,109052.32,2024-02-25,0.1265,18,2025-08-18,unsecured,0,online,640-679,B
L000097,B00754,Term Loan,173136.85,2024-01-06,0.0894,36,2026-12-21,equipment,1,relationship_manager,680-719,C
L000098,B01494,Revolving Credit,247310.22,2024-04-05,0.1229,12,2025-03-31,equipment,1,online,640-679,B
L000099,B00922,Invoice Financing,1200000.0,2023-09-30,0.0736,18,2025-03-23,real estate,1,branch,720-759,A
L000100,B00211,Invoice Financing,433901.83,2023-11-22,0.0821,36,2026-11-06,receivables,1,branch,720-759,A
L000101,B01460,Term Loan,32997.63,2024-01-17,0.1222,36,2027-01-01,equipment,1,branch,640-679,C
L000102,B01316,Term Loan,69338.61,2023-07-31,0.0599,18,2025-01-21,receivables,0,partner,760+,C
L000103,B00117,Revolving Credit,813825.35,2023-07-24,0.0677,24,2025-07-13,equipment,1,partner,720-759,B
L000104,B01218,Invoice Financing,287185.89,2024-06-25,0.0752,36,2027-06-10,receivables,1,online,720-759,B
L000105,B00933,Invoice Financing,319875.1,2024-12-17,0.099,18,2026-06-10,receivables,0,branch,680-719,B
L000106,B00365,Equipment Loan,122453.14,2024-07-14,0.0872,36,2027-06-29,receivables,1,branch,680-719,C
L000107,B01468,Term Loan,151871.82,2023-08-28,0.0879,18,2025-02-18,UCC lien,1,online,720-759,C
L000108,B00071,Term Loan,101337.16,2024-09-02,0.0825,18,2026-02-24,equipment,1,branch,720-759,A
L000109,B00235,Revolving Credit,704796.39,2024-10-31,0.108,12,2025-10-26,receivables,0,relationship_manager,640-679,B
L000110,B00254,Equipment Loan,188870.21,2023-03-31,0.0852,12,2024-03-25,UCC lien,1,partner,720-759,B
L000111,B00866,Revolving Credit,1068284.45,2023-11-15,0.1231,36,2026-10-30,unsecured,0,online,640-679,A
L000112,B00118,Term Loan,661275.28,2023-10-25,0.0952,24,2025-10-14,UCC lien,1,partner,680-719,D
L000113,B01172,Merchant Cash Advance,187644.07,2023-11-14,0.0978,12,2024-11-08,equipment,0,branch,680-719,B
L000114,B01004,Invoice Financing,19642.12,2024-05-14,0.0844,24,2026-05-04,equipment,1,branch,680-719,B
L000115,B00093,Equipment Loan,731180.65,2023-12-27,0.1167,36,2026-12-11,UCC lien,1,relationship_manager,640-679,B
L000116,B01349,Revolving Credit,188746.41,2023-12-11,0.1007,18,2025-06-03,equipment,1,online,680-719,A
L000117,B00415,Equipment Loan,141221.89,2024-07-30,0.1184,18,2026-01-21,UCC lien,1,partner,640-679,C
L000118,B01031,Equipment Loan,79045.74,2023-10-20,0.1042,48,2027-09-29,UCC lien,1,online,680-719,B
L000119,B01049,Invoice Financing,65319.09,2023-03-27,0.0764,24,2025-03-16,UCC lien,1,branch,720-759,C
L000120,B01454,Term Loan,94513.38,2024-02-14,0.0843,36,2027-01-29,receivables,1,branch,720-759,B
L000121,B00906,Term Loan,777812.16,2023-01-29,0.0914,24,2025-01-18,UCC lien,1,partner,680-719,B
L000122,B00875,Equipment Loan,125469.78,2023-04-20,0.0701,12,2024-04-14,UCC lien,1,online,760+,A
L000123,B00349,Equipment Loan,1200000.0,2024-10-05,0.0835,18,2026-03-29,equipment,0,branch,720-759,B
L000124,B00607,Invoice Financing,235668.59,2023-02-18,0.0858,12,2024-02-13,UCC lien,1,branch,680-719,B
L000125,B00299,Invoice Financing,269603.01,2024-10-07,0.1149,18,2026-03-31,UCC lien,1,online,640-679,A
L000126,B01017,Invoice Financing,95051.58,2023-05-02,0.0738,18,2024-10-23,UCC lien,0,branch,720-759,C
L000127,B00846,Term Loan,115198.61,2023-08-12,0.1344,24,2025-08-01,receivables,0,relationship_manager,580-639,C
L000128,B00422,Equipment Loan,53178.04,2024-11-21,0.1109,12,2025-11-16,receivables,0,branch,640-679,C
L000129,B01022,Revolving Credit,494070.95,2024-09-18,0.0843,24,2026-09-08,equipment,1,partner,720-759,C
L000130,B01183,Term Loan,56489.88,2024-10-23,0.1006,36,2027-10-08,UCC lien,1,branch,680-719,B
L000131,B00793,Revolving Credit,18229.54,2023-06-14,0.1193,36,2026-05-29,equipment,0,partner,640-679,B
L000132,B00976,Revolving Credit,34797.79,2023-07-31,0.0712,36,2026-07-15,UCC lien,1,online,720-759,A
L000133,B00864,Revolving Credit,95281.46,2023-06-03,0.106,18,2024-11-24,receivables,1,online,640-679,C
L000134,B01100,Invoice Financing,724712.7,2023-03-12,0.0802,12,2024-03-06,receivables,0,online,720-759,B
L000135,B00453,Equipment Loan,1200000.0,2023-10-31,0.1153,18,2025-04-23,UCC lien,1,branch,640-679,B
L000136,B00853,Equipment Loan,951370.48,2023-06-21,0.0855,18,2024-12-12,UCC lien,0,branch,680-719,A
L000137,B00168,Invoice Financing,210932.3,2024-03-07,0.1412,36,2027-02-20,UCC lien,1,online,580-639,B
L000138,B00674,Invoice Financing,49812.26,2023-03-05,0.0763,24,2025-02-22,equipment,0,branch,720-759,B
L000139,B01107,Revolving Credit,509415.44,2024-07-24,0.0772,24,2026-07-14,UCC lien,0,branch,720-759,C
L000140,B01179,Term Loan,167136.34,2024-07-04,0.1436,24,2026-06-24,unsecured,0,branch,580-639,A
L000141,B00959,Revolving Credit,119328.35,2023-09-24,0.1143,24,2025-09-13,real estate,1,online,640-679,C
L000142,B01025,Invoice Financing,163088.66,2023-11-02,0.1428,36,2026-10-17,equipment,1,partner,580-639,A
L000143,B00894,Term Loan,584734.72,2023-02-04,0.0905,24,2025-01-24,UCC lien,1,online,680-719,C
L000144,B00410,Term Loan,137711.82,2023-08-11,0.1048,36,2026-07-26,equipment,1,partner,640-679,C
L000145,B00457,Revolving Credit,674824.74,2024-08-20,0.0994,36,2027-08-05,UCC lien,1,online,680-719,B
L000146,B01141,Term Loan,26976.82,2024-01-26,0.1035,24,2026-01-15,equipment,0,online,680-719,B
L000147,B00849,Term Loan,343089.62,2023-05-26,0.062,24,2025-05-15,UCC lien,1,online,760+,C
L000148,B00900,Merchant Cash Advance,758545.68,2023-06-14,0.1117,24,2025-06-03,receivables,0,relationship_manager,640-679,C
L000149,B00305,Invoice Financing,52225.81,2024-04-16,0.1471,24,2026-04-06,UCC lien,0,partner,580-639,C
L000150,B00680,Invoice Financing,745343.0,2024-12-02,0.1216,24,2026-11-22,equipment,1,online,640-679,A
L000151,B00235,Merchant Cash Advance,435372.75,2023-10-12,0.1057,18,2025-04-04,equipment,1,branch,640-679,B
L000152,B01016,Term Loan,55534.46,2023-04-27,0.1165,12,2024-04-21,UCC lien,1,partner,640-679,B
L000153,B00536,Revolving Credit,119657.69,2023-05-28,0.1064,36,2026-05-12,UCC lien,1,branch,680-719,C
L000154,B00581,Equipment Loan,58021.63,2023-02-04,0.1107,24,2025-01-24,equipment,1,online,640-679,B
L000155,B01231,Revolving Credit,1200000.0,2024-06-08,0.1083,18,2025-11-30,UCC lien,1,branch,640-679,C
L000156,B01205,Invoice Financing,376877.56,2024-11-26,0.1082,12,2025-11-21,receivables,1,online,640-679,A
L000157,B01496,Equipment Loan,782120.77,2024-12-20,0.0829,36,2027-12-05,UCC lien,0,branch,680-719,A
L000158,B00366,Invoice Financing,286219.21,2024-01-16,0.1326,24,2026-01-05,real estate,1,branch,580-639,C
L000159,B00730,Invoice Financing,250757.33,2023-08-20,0.1026,18,2025-02-10,real estate,1,partner,640-679,A
L000160,B01054,Term Loan,808247.54,2023-08-10,0.1022,36,2026-07-25,receivables,1,online,680-719,C
L000161,B01060,Invoice Financing,186966.61,2023-11-20,0.1273,36,2026-11-04,UCC lien,1,online,640-679,C
L000162,B01060,Revolving Credit,57600.17,2023-02-15,0.1111,18,2024-08-08,receivables,0,partner,640-679,B
L000163,B00002,Term Loan,896048.57,2024-03-02,0.1044,24,2026-02-20,equipment,0,relationship_manager,640-679,C
L000164,B00049,Invoice Financing,109468.87,2023-03-01,0.12,18,2024-08-22,UCC lien,1,partner,640-679,B
L000165,B01276,Invoice Financing,712427.11,2024-12-18,0.0845,36,2027-12-03,UCC lien,0,branch,680-719,C
L000166,B00629,Equipment Loan,107662.3,2023-05-22,0.0829,36,2026-05-06,equipment,1,online,680-719,B
L000167,B00141,Term Loan,1047902.55,2023-08-26,0.1376,36,2026-08-10,receivables,1,relationship_manager,580-639,B
L000168,B01265,Revolving Credit,86979.16,2023-02-13,0.0683,36,2026-01-28,equipment,0,partner,760+,C
L000169,B00027,Term Loan,94008.78,2023-05-19,0.1142,48,2027-04-28,receivables,1,online,640-679,B
L000170,B00905,Merchant Cash Advance,37060.03,2024-04-03,0.0929,18,2025-09-25,UCC lien,1,partner,680-719,B
L000171,B01359,Invoice Financing,66559.0,2023-03-12,0.1513,24,2025-03-01,UCC lien,1,branch,580-639,B
L000172,B00497,Term Loan,44397.77,2023-06-23,0.0796,24,2025-06-12,equipment,0,branch,760+,C
L000173,B01097,Term Loan,60965.24,2024-07-26,0.102,48,2028-07-05,receivables,1,relationship_manager,680-719,A
L000174,B01068,Term Loan,511350.82,2023-08-16,0.1395,12,2024-08-10,receivables,0,branch,580-639,B
L000175,B01474,Term Loan,50192.0,2024-04-26,0.1168,36,2027-04-11,receivables,0,branch,640-679,B
L000176,B00321,Equipment Loan,547325.52,2023-05-05,0.0756,18,2024-10-26,equipment,1,branch,720-759,B
L000177,B00382,Term Loan,266727.17,2024-05-10,0.0849,48,2028-04-19,equipment,1,online,680-719,B
L000178,B01219,Revolving Credit,133821.39,2023-03-08,0.1349,24,2025-02-25,UCC lien,1,partner,580-639,B
L000179,B00616,Invoice Financing,522173.69,2024-06-15,0.1035,36,2027-05-31,UCC lien,1,branch,680-719,C
L000180,B00351,Revolving Credit,277523.68,2024-08-19,0.1354,24,2026-08-09,equipment,1,branch,580-639,C
L000181,B00971,Equipment Loan,131054.8,2023-08-30,0.1069,36,2026-08-14,equipment,1,branch,680-719,B
L000182,B00434,Invoice Financing,221126.2,2024-11-25,0.0786,18,2026-05-19,real estate,0,partner,720-759,B
L000183,B01484,Revolving Credit,209570.33,2024-11-03,0.1505,24,2026-10-24,equipment,0,online,580-639,A
L000184,B00682,Revolving Credit,564278.71,2023-09-15,0.0798,24,2025-09-04,equipment,0,partner,720-759,C
L000185,B01270,Merchant Cash Advance,177205.07,2023-07-28,0.0779,36,2026-07-12,equipment,1,partner,720-759,B
L000186,B00701,Equipment Loan,121931.83,2023-02-23,0.1061,24,2025-02-12,equipment,0,branch,640-679,C
L000187,B00796,Equipment Loan,183461.44,2023-07-27,0.1067,18,2025-01-17,UCC lien,0,partner,640-679,C
L000188,B00284,Term Loan,79437.79,2023-03-22,0.1332,18,2024-09-12,unsecured,0,branch,580-639,C
L000189,B00069,Invoice Financing,1200000.0,2024-07-24,0.0893,18,2026-01-15,receivables,0,online,680-719,A
L000190,B01076,Term Loan,86967.67,2024-07-14,0.155,12,2025-07-09,UCC lien,0,partner,580-639,B
L000191,B01454,Term Loan,363356.79,2023-10-12,0.0769,12,2024-10-06,equipment,0,branch,720-759,D
L000192,B00123,Term Loan,367645.19,2024-07-05,0.0804,24,2026-06-25,equipment,0,partner,760+,B
L000193,B01475,Merchant Cash Advance,140057.59,2024-03-22,0.1067,36,2027-03-07,equipment,0,branch,680-719,A
L000194,B00611,Equipment Loan,632340.23,2023-07-25,0.0763,36,2026-07-09,receivables,1,branch,720-759,B
L000195,B00061,Invoice Financing,46261.41,2024-04-04,0.0952,24,2026-03-25,real estate,1,branch,680-719,B
L000196,B00433,Term Loan,131824.36,2023-11-15,0.1012,36,2026-10-30,UCC lien,1,online,680-719,B
L000197,B00429,Term Loan,1200000.0,2024-02-01,0.084,18,2025-07-25,UCC lien,1,branch,680-719,A
L000198,B01466,Term Loan,363637.02,2023-03-26,0.149,36,2026-03-10,equipment,1,online,580-639,C
L000199,B01433,Revolving Credit,79704.25,2023-09-09,0.1438,18,2025-03-02,equipment,0,branch,580-639,C
L000200,B00915,Term Loan,20871.55,2023-09-18,0.0578,18,2025-03-11,equipment,1,branch,760+,B
L000201,B00860,Term Loan,120211.82,2024-12-16,0.1553,24,2026-12-06,receivables,1,online,580-639,C
L000202,B01462,Equipment Loan,65035.36,2023-02-28,0.1506,24,2025-02-17,receivables,1,partner,580-639,B
L000203,B01478,Revolving Credit,322972.72,2023-11-27,0.0643,18,2025-05-20,UCC lien,1,relationship_manager,760+,B
L000204,B00555,Term Loan,224463.58,2023-12-15,0.1119,12,2024-12-09,UCC lien,1,branch,640-679,B
L000205,B00605,Equipment Loan,56257.0,2023-09-18,0.1246,18,2025-03-11,equipment,0,branch,640-679,D
L000206,B00968,Revolving Credit,45920.71,2024-10-25,0.0831,36,2027-10-10,equipment,1,relationship_manager,720-759,B
L000207,B00199,Revolving Credit,149258.58,2023-12-09,0.085,24,2025-11-28,receivables,1,partner,680-719,B
L000208,B00418,Term Loan,1200000.0,2023-06-02,0.1514,24,2025-05-22,equipment,0,online,580-639,B
L000209,B01229,Term Loan,166026.49,2024-10-13,0.0742,24,2026-10-03,UCC lien,1,branch,760+,B
L000210,B00269,Revolving Credit,30929.91,2023-03-13,0.1057,24,2025-03-02,equipment,1,branch,640-679,A
L000211,B01318,Invoice Financing,46136.14,2024-04-13,0.0655,36,2027-03-29,UCC lien,0,online,760+,C
L000212,B01396,Equipment Loan,65637.21,2023-03-19,0.1466,36,2026-03-03,equipment,1,online,580-639,A
L000213,B00935,Term Loan,188767.4,2024-04-02,0.1559,24,2026-03-23,equipment,1,branch,580-639,B
L000214,B00190,Revolving Credit,44301.4,2023-08-29,0.1257,12,2024-08-23,equipment,1,partner,640-679,B
L000215,B00706,Term Loan,1200000.0,2024-08-02,0.0988,12,2025-07-28,receivables,1,branch,680-719,A
L000216,B00261,Invoice Financing,439476.29,2024-12-25,0.0853,12,2025-12-20,UCC lien,0,online,680-719,B
L000217,B01335,Term Loan,253197.94,2024-12-11,0.1393,24,2026-12-01,UCC lien,0,partner,580-639,B
L000218,B00004,Revolving Credit,123998.64,2023-04-29,0.1162,12,2024-04-23,equipment,1,online,640-679,A
L000219,B00509,Revolving Credit,283552.27,2023-06-26,0.1252,36,2026-06-10,unsecured,0,online,640-679,C
L000220,B00022,Merchant Cash Advance,93933.98,2023-06-25,0.0829,24,2025-06-14,UCC lien,1,relationship_manager,680-719,C
L000221,B00730,Term Loan,175040.59,2023-05-15,0.111,24,2025-05-04,equipment,1,branch,640-679,C
L000222,B00696,Invoice Financing,1200000.0,2024-11-10,0.0972,24,2026-10-31,equipment,0,online,680-719,B
L000223,B01152,Invoice Financing,190090.68,2023-06-01,0.1207,36,2026-05-16,UCC lien,1,online,640-679,C
L000224,B00167,Equipment Loan,72244.64,2023-02-10,0.0784,18,2024-08-03,receivables,1,online,720-759,A
L000225,B00197,Revolving Credit,101012.16,2024-12-14,0.1568,12,2025-12-09,real estate,1,online,580-639,B
L000226,B00283,Term Loan,27509.27,2023-07-03,0.0983,18,2024-12-24,receivables,0,branch,680-719,B
L000227,B00930,Equipment Loan,55125.68,2023-09-04,0.0875,24,2025-08-24,equipment,1,branch,680-719,B
L000228,B00427,Invoice Financing,150228.52,2023-12-30,0.1067,24,2025-12-19,receivables,1,branch,640-679,C
L000229,B00456,Merchant Cash Advance,145281.52,2023-02-18,0.124,18,2024-08-11,real estate,1,online,640-679,B
L000230,B01482,Term Loan,171994.25,2023-01-15,0.103,24,2025-01-04,receivables,1,online,680-719,A
L000231,B00362,Revolving Credit,69600.65,2024-07-27,0.1028,12,2025-07-22,UCC lien,1,online,640-679,A
L000232,B00620,Term Loan,1200000.0,2024-06-04,0.1194,24,2026-05-25,UCC lien,1,online,640-679,C
L000233,B00802,Term Loan,730572.92,2024-04-15,0.1541,18,2025-10-07,real estate,1,branch,580-639,B
L000234,B00718,Term Loan,308573.7,2023-05-09,0.0826,18,2024-10-30,equipment,1,partner,680-719,B
L000235,B00888,Equipment Loan,61813.3,2024-11-20,0.1061,36,2027-11-05,equipment,1,partner,680-719,B
L000236,B00165,Term Loan,86034.37,2023-12-26,0.1029,18,2025-06-18,receivables,1,branch,640-679,B
L000237,B00319,Term Loan,21458.06,2023-09-12,0.0738,24,2025-09-01,real estate,1,partner,720-759,B
L000238,B01098,Merchant Cash Advance,120199.74,2023-08-25,0.1093,18,2025-02-15,equipment,1,branch,640-679,C
L000239,B00709,Invoice Financing,145692.57,2023-06-28,0.0708,24,2025-06-17,UCC lien,1,branch,720-759,D
L000240,B01344,Equipment Loan,154066.36,2024-08-14,0.1027,18,2026-02-05,receivables,0,branch,680-719,C
L000241,B00371,Revolving Credit,90046.93,2023-05-26,0.104,36,2026-05-10,UCC lien,0,partner,640-679,B
L000242,B00375,Merchant Cash Advance,1200000.0,2023-11-26,0.1066,18,2025-05-19,UCC lien,1,online,640-679,B
