payroll_id,business_id,payroll_month,employee_count,full_time_count,part_time_count,payroll_amount,avg_wage_estimate,overtime_hours_proxy,payroll_processor
PY0000071,B00071,2024-01,4,3,1,17243.23,4310.81,50.3,ADP
PY0000072,B00072,2024-01,8,6,2,39023.15,4877.89,45.1,Paychex
PY0000073,B00073,2024-01,5,4,1,11717.43,2343.49,70.3,Gusto
PY0000074,B00074,2024-01,9,7,2,54701.11,6077.9,57.7,manual
PY0000075,B00075,2024-01,5,3,2,18036.41,3607.28,4.5,QuickBooks
PY0000076,B00076,2024-01,4,3,1,25581.04,6395.26,62.1,ADP
PY0000077,B00077,2024-01,2,1,1,16992.12,8496.06,19.0,ADP
PY0000078,B00078,2024-01,6,4,2,29109.23,4851.54,74.3,Gusto
PY0000079,B00079,2024-01,8,5,3,30250.29,3781.29,48.4,ADP
PY0000080,B00080,2024-01,1,1,0,16235.57,16235.57,21.2,QuickBooks
PY0000081,B00081,2024-01,6,4,2,19028.12,3171.35,77.3,ADP
PY0000082,B00082,2024-01,2,1,1,12195.91,6097.96,37.2,ADP
PY0000083,B00083,2024-01,7,5,2,25694.19,3670.6,40.6,Paychex
PY0000084,B00084,2024-01,24,20,4,136299.27,5679.14,59.3,Paychex
PY0000085,B00085,2024-01,12,7,5,66991.93,5582.66,39.2,Gusto
PY0000086,B00086,2024-01,1,1,0,7825.64,7825.64,32.5,Paychex
PY0000087,B00087,2024-01,14,10,4,62542.22,4467.3,63.3,Gusto
PY0000088,B00088,2024-01,21,14,7,97359.12,4636.15,8.3,Paychex
PY0000089,B00089,2024-01,6,5,1,25976.56,4329.43,19.5,Paychex
PY0000090,B00090,2024-01,3,2,1,29843.41,9947.8,54.4,ADP
PY0000091,B00091,2024-01,23,18,5,135609.17,5896.05,6.6,Paychex
PY0000092,B00092,2024-01,5,4,1,22725.34,4545.07,63.4,Gusto
PY0000093,B00093,2024-01,30,25,5,105630.62,3521.02,1.8,ADP
PY0000094,B00094,2024-01,26,21,5,136281.4,5241.59,41.4,Paychex
PY0000095,B00095,2024-01,9,6,3,44804.08,4978.23,4.3,QuickBooks
PY0000096,B00096,2024-01,25,18,7,144319.56,5772.78,25.5,Paychex
PY0000097,B00097,2024-01,7,5,2,41049.83,5864.26,31.0,ADP
PY0000098,B00098,2024-01,11,8,3,37979.14,3452.65,61.2,QuickBooks
PY0000099,B00099,2024-01,32,22,10,91989.55,2874.67,49.8,ADP
PY0000100,B00100,2024-01,1,1,0,15575.56,15575.56,56.6,ADP
PY0000101,B00101,2024-01,2,1,1,18547.14,9273.57,23.7,Paychex
PY0000102,B00102,2024-01,17,11,6,63573.26,3739.6,1.2,ADP
PY0000103,B00103,2024-01,3,2,1,26142.0,8714.0,14.8,Gusto
PY0000104,B00104,2024-01,5,4,1,18861.04,3772.21,30.4,ADP
PY0000105,B00105,2024-01,10,7,3,33450.58,3345.06,10.6,Paychex
PY0000106,B00106,2024-01,18,14,4,114173.56,6342.98,32.0,QuickBooks
PY0000107,B00107,2024-01,3,2,1,11484.87,3828.29,19.6,QuickBooks
PY0000108,B00108,2024-01,1,1,0,12967.57,12967.57,0.3,Paychex
PY0000109,B00109,2024-01,4,3,1,26290.12,6572.53,67.8,ADP
PY0000110,B00110,2024-01,2,1,1,18502.23,9251.12,65.6,ADP
PY0000111,B00111,2024-01,5,3,2,31924.24,6384.85,4.0,QuickBooks
PY0000112,B00112,2024-01,1,1,0,16293.21,16293.21,26.2,Gusto
PY0000113,B00113,2024-01,9,7,2,46442.09,5160.23,53.4,QuickBooks
PY0000114,B00114,2024-01,3,2,1,21228.55,7076.18,28.1,Paychex
PY0000115,B00115,2024-01,34,27,7,166005.11,4882.5,72.9,Gusto
PY0000116,B00116,2024-01,5,3,2,23317.97,4663.59,69.2,ADP
PY0000117,B00117,2024-01,8,5,3,50571.56,6321.45,6.4,Paychex
PY0000118,B00118,2024-01,19,15,4,131445.94,6918.21,62.3,Gusto
PY0000119,B00119,2024-01,5,4,1,14086.48,2817.3,8.5,Paychex
PY0000120,B00120,2024-01,9,6,3,58482.76,6498.08,43.9,ADP
PY0000121,B00121,2024-01,9,5,4,33111.36,3679.04,58.2,Gusto
PY0000122,B00122,2024-01,3,2,1,11395.79,3798.6,14.4,Gusto
PY0000123,B00123,2024-01,14,8,6,53958.11,3854.15,30.3,Gusto
PY0000124,B00124,2024-01,3,2,1,7179.4,2393.13,1.4,ADP
PY0000125,B00125,2024-01,21,12,9,80951.88,3854.85,61.8,QuickBooks
PY0000126,B00126,2024-01,2,1,1,18119.68,9059.84,5.8,Paychex
PY0000127,B00127,2024-01,6,5,1,22714.86,3785.81,52.7,ADP
PY0000128,B00128,2024-01,1,1,0,17691.37,17691.37,69.5,Gusto
PY0000129,B00129,2024-01,3,2,1,6001.24,2000.41,43.7,Paychex
PY0000130,B00130,2024-01,1,1,0,14504.88,14504.88,40.0,ADP
PY0000131,B00131,2024-01,4,3,1,8709.47,2177.37,61.1,Gusto
PY0000132,B00132,2024-01,21,13,8,102856.55,4897.93,20.7,Gusto
PY0000133,B00133,2024-01,9,7,2,43825.27,4869.47,12.0,Paychex
PY0000134,B00134,2024-01,3,2,1,17401.87,5800.62,51.3,ADP
PY0000135,B00135,2024-01,11,8,3,55694.36,5063.12,3.0,Paychex
PY0000136,B00136,2024-01,19,12,7,103561.45,5450.6,28.0,Gusto
PY0000137,B00137,2024-01,3,2,1,9408.65,3136.22,79.1,ADP
PY0000138,B00138,2024-01,1,1,0,11327.37,11327.37,56.0,ADP
PY0000139,B00139,2024-01,5,4,1,18380.82,3676.16,0.6,QuickBooks
PY0000140,B00140,2024-01,11,9,2,52994.2,4817.65,36.9,Gusto
PY0000141,B00141,2024-01,20,15,5,78658.88,3932.94,7.2,QuickBooks
PY0000142,B00142,2024-01,7,5,2,33834.46,4833.49,31.3,Paychex
PY0000143,B00143,2024-01,4,3,1,14280.53,3570.13,13.8,manual
PY0000144,B00144,2024-01,46,30,16,287796.11,6256.44,67.5,Gusto
PY0000145,B00145,2024-01,1,1,0,19155.81,19155.81,49.7,Gusto
PY0000146,B00146,2024-01,3,2,1,12217.81,4072.6,50.5,Paychex
PY0000147,B00147,2024-01,7,4,3,21947.13,3135.3,51.9,Paychex
PY0000148,B00148,2024-01,22,16,6,103057.04,4684.41,1.6,Gusto
PY0000149,B00149,2024-01,5,3,2,22519.88,4503.98,3.1,Paychex
PY0000150,B00150,2024-01,6,4,2,15596.32,2599.39,19.0,Paychex
PY0000151,B00151,2024-01,3,2,1,18495.66,6165.22,41.6,ADP
PY0000152,B00152,2024-01,5,4,1,20140.92,4028.18,14.3,Paychex
PY0000153,B00153,2024-01,4,2,2,30248.79,7562.2,56.3,Gusto
PY0000154,B00154,2024-01,23,13,10,76294.01,3317.13,44.7,ADP
PY0000155,B00155,2024-01,3,2,1,13425.27,4475.09,70.6,Paychex
PY0000156,B00156,2024-01,11,7,4,35053.9,3186.72,59.8,ADP
PY0000157,B00157,2024-01,2,1,1,17346.92,8673.46,56.0,ADP
PY0000158,B00158,2024-01,7,6,1,36321.33,5188.76,39.8,ADP
PY0000159,B00159,2024-01,2,1,1,18779.65,9389.83,35.5,Gusto
PY0000160,B00160,2024-01,20,13,7,83777.72,4188.89,55.5,Gusto
PY0000161,B00161,2024-01,2,1,1,9358.06,4679.03,32.8,ADP
PY0000162,B00162,2024-01,41,32,9,221289.98,5397.32,76.7,ADP
PY0000163,B00163,2024-01,4,3,1,17691.26,4422.81,58.1,QuickBooks
PY0000164,B00164,2024-01,20,16,4,78550.54,3927.53,13.6,Gusto
PY0000165,B00165,2024-01,2,1,1,23278.83,11639.42,32.3,Gusto
PY0000166,B00166,2024-01,5,4,1,30992.48,6198.5,59.4,Paychex
PY0000167,B00167,2024-01,3,2,1,17076.42,5692.14,53.6,ADP
PY0000168,B00168,2024-01,11,8,3,42884.77,3898.62,49.0,ADP
PY0000169,B00169,2024-01,6,3,3,35687.7,5947.95,44.9,Paychex
PY0000170,B00170,2024-01,10,7,3,57044.71,5704.47,32.0,Paychex
PY0000171,B00171,2024-01,4,3,1,17727.77,4431.94,35.3,ADP
PY0000172,B00172,2024-01,8,7,1,24878.76,3109.85,72.0,Gusto
PY0000173,B00173,2024-01,8,5,3,43179.65,5397.46,28.4,ADP
PY0000174,B00174,2024-01,7,4,3,37225.87,5317.98,15.5,QuickBooks
PY0000175,B00175,2024-01,9,6,3,35655.37,3961.71,56.5,ADP
PY0000176,B00176,2024-01,3,2,1,21181.56,7060.52,57.2,Paychex
PY0000177,B00177,2024-01,5,3,2,44030.81,8806.16,62.1,QuickBooks
PY0000178,B00178,2024-01,21,13,8,107735.3,5130.25,48.4,ADP
PY0000179,B00179,2024-01,8,6,2,31746.5,3968.31,43.8,ADP
PY0000180,B00180,2024-01,2,2,0,16275.79,8137.9,75.0,ADP
PY0000181,B00181,2024-01,1,1,0,13809.1,13809.1,38.2,ADP
PY0000182,B00182,2024-01,4,3,1,24382.53,6095.63,68.4,QuickBooks
PY0000183,B00183,2024-01,15,10,5,86798.94,5786.6,38.1,ADP
PY0000184,B00184,2024-01,10,8,2,31230.0,3123.0,5.4,Paychex
PY0000185,B00185,2024-01,10,6,4,49416.52,4941.65,62.2,Gusto
PY0000186,B00186,2024-01,9,7,2,49704.34,5522.7,70.0,QuickBooks
PY0000187,B00187,2024-01,3,2,1,22782.76,7594.25,24.2,Gusto
PY0000188,B00188,2024-01,2,1,1,11707.53,5853.77,34.2,ADP
PY0000189,B00189,2024-01,9,8,1,57417.44,6379.72,22.6,ADP
PY0000190,B00190,2024-01,2,2,0,11685.58,5842.79,39.5,QuickBooks
PY0000191,B00191,2024-01,12,9,3,79973.17,6664.43,67.1,ADP
PY0000192,B00192,2024-01,8,6,2,34377.94,4297.24,63.5,Gusto
PY0000193,B00193,2024-01,6,5,1,26215.64,4369.27,23.0,ADP
PY0000194,B00194,2024-01,28,20,8,84625.01,3022.32,21.6,ADP
PY0000195,B00195,2024-01,6,4,2,25885.86,4314.31,74.4,ADP
PY0000196,B00196,2024-01,24,16,8,89495.32,3728.97,13.1,Paychex
PY0000197,B00197,2024-01,3,2,1,16233.29,5411.1,17.1,Gusto
PY0000198,B00198,2024-01,5,4,1,23116.11,4623.22,76.2,Paychex
PY0000199,B00199,2024-01,3,2,1,12268.96,4089.65,69.1,ADP
PY0000200,B00200,2024-01,4,2,2,15860.9,3965.23,44.0,Gusto
PY0000201,B00201,2024-01,22,15,7,84952.85,3861.49,50.4,ADP
PY0000202,B00202,2024-01,3,2,1,10181.59,3393.86,23.6,Gusto
PY0000203,B00203,2024-01,12,9,3,52582.7,4381.89,76.5,Paychex
PY0000204,B00204,2024-01,5,4,1,26019.33,5203.87,34.3,ADP
PY0000205,B00205,2024-01,10,7,3,45774.54,4577.45,60.7,Gusto
PY0000206,B00206,2024-01,3,2,1,18384.82,6128.27,63.2,Paychex
PY0000207,B00207,2024-01,14,11,3,66183.95,4727.43,47.5,ADP
PY0000208,B00208,2024-01,14,11,3,74637.15,5331.23,36.5,ADP
PY0000209,B00209,2024-01,7,5,2,37102.71,5300.39,21.9,ADP
PY0000210,B00210,2024-01,12,8,4,59510.35,4959.2,56.8,Gusto
PY0000211,B00211,2024-01,8,7,1,29181.55,3647.69,7.5,ADP
PY0000212,B00212,2024-01,4,3,1,23504.32,5876.08,77.2,Paychex
PY0000213,B00213,2024-01,7,6,1,50155.33,7165.05,15.0,QuickBooks
PY0000214,B00214,2024-01,7,6,1,22610.77,3230.11,47.6,ADP
PY0000215,B00215,2024-01,4,2,2,8884.73,2221.18,31.3,ADP
PY0000216,B00216,2024-01,4,2,2,22806.65,5701.66,17.7,Paychex
PY0000217,B00217,2024-01,4,2,2,13817.74,3454.44,44.3,ADP
PY0000218,B00218,2024-01,7,6,1,24708.53,3529.79,56.9,Gusto
PY0000219,B00219,2024-01,4,3,1,12878.94,3219.74,21.2,ADP
PY0000220,B00220,2024-01,6,4,2,24732.16,4122.03,26.7,Gusto
PY0000221,B00221,2024-01,2,1,1,11554.43,5777.22,7.6,Paychex
PY0000222,B00222,2024-01,4,3,1,25250.42,6312.61,35.2,Paychex
PY0000223,B00223,2024-01,54,30,24,272359.55,5043.7,16.5,Paychex
PY0000224,B00224,2024-01,2,1,1,12381.27,6190.64,70.1,QuickBooks
PY0000225,B00225,2024-01,4,2,2,17947.57,4486.89,15.7,ADP
PY0000226,B00226,2024-01,5,4,1,23878.1,4775.62,0.8,Paychex
PY0000227,B00227,2024-01,1,1,0,8495.21,8495.21,9.4,Paychex
PY0000228,B00228,2024-01,1,1,0,17326.2,17326.2,46.5,ADP
PY0000229,B00229,2024-01,13,9,4,48168.76,3705.29,57.6,ADP
PY0000230,B00230,2024-01,4,2,2,16446.78,4111.7,70.8,ADP
PY0000231,B00231,2024-01,3,2,1,14095.98,4698.66,5.1,QuickBooks
PY0000232,B00232,2024-01,6,4,2,16315.02,2719.17,36.8,ADP
PY0000233,B00233,2024-01,2,1,1,16134.23,8067.12,21.8,Gusto
PY0000234,B00234,2024-01,37,23,14,119316.31,3224.77,64.9,Paychex
PY0000235,B00235,2024-01,15,10,5,48808.3,3253.89,79.7,Paychex
PY0000236,B00236,2024-01,2,1,1,14814.95,7407.48,38.7,ADP
PY0000237,B00237,2024-01,3,2,1,14660.62,4886.87,49.7,Gusto
PY0000238,B00238,2024-01,8,5,3,29753.47,3719.18,6.7,ADP
PY0000239,B00239,2024-01,5,4,1,22226.27,4445.25,31.3,Gusto
PY0000240,B00240,2024-01,29,19,10,180518.82,6224.79,52.5,Paychex
PY0000241,B00241,2024-01,8,5,3,55400.09,6925.01,63.2,ADP
PY0000242,B00242,2024-01,6,4,2,19171.65,3195.28,6.4,Paychex
PY0000243,B00243,2024-01,1,1,0,13951.49,13951.49,65.6,Gusto
PY0000244,B00244,2024-01,8,6,2,31691.02,3961.38,37.4,QuickBooks
PY0000245,B00245,2024-01,1,1,0,15047.29,15047.29,18.6,Paychex
PY0000246,B00246,2024-01,13,7,6,94196.31,7245.87,59.8,Paychex
PY0000247,B00247,2024-01,10,6,4,61172.56,6117.26,57.3,Gusto
PY0000248,B00248,2024-01,14,9,5,65072.42,4648.03,64.6,ADP
PY0000249,B00249,2024-01,8,5,3,54988.32,6873.54,60.6,Gusto
PY0000250,B00250,2024-01,20,15,5,80600.78,4030.04,31.7,ADP
PY0000251,B00251,2024-01,4,3,1,17394.58,4348.65,19.5,Paychex
PY0000252,B00252,2024-01,8,6,2,39076.24,4884.53,50.1,ADP
PY0000253,B00253,2024-01,2,2,0,9589.91,4794.96,5.7,ADP
PY0000254,B00254,2024-01,3,2,1,9442.85,3147.62,20.0,Paychex
PY0000255,B00255,2024-01,3,2,1,20314.84,6771.61,17.9,Gusto
PY0000256,B00256,2024-01,7,4,3,37028.35,5289.76,49.3,ADP
PY0000257,B00257,2024-01,4,3,1,32136.65,8034.16,4.8,ADP
PY0000258,B00258,2024-01,9,7,2,54191.26,6021.25,66.8,ADP
PY0000259,B00259,2024-01,9,6,3,41038.43,4559.83,34.7,Gusto
PY0000260,B00260,2024-01,5,3,2,14883.39,2976.68,59.5,ADP
PY0000261,B00261,2024-01,13,7,6,75700.2,5823.09,12.7,QuickBooks
PY0000262,B00262,2024-01,5,3,2,17047.97,3409.59,35.0,ADP
PY0000263,B00263,2024-01,3,3,0,17021.67,5673.89,30.7,Gusto
PY0000264,B00264,2024-01,6,4,2,44191.85,7365.31,54.0,Paychex
PY0000265,B00265,2024-01,3,2,1,10629.15,3543.05,72.2,Gusto
PY0000266,B00266,2024-01,53,38,15,243952.96,4602.89,30.8,Gusto
PY0000267,B00267,2024-01,3,2,1,18206.64,6068.88,29.5,Paychex
PY0000268,B00268,2024-01,2,1,1,11748.79,5874.4,75.1,Gusto
PY0000269,B00269,2024-01,1,1,0,9606.91,9606.91,15.1,ADP
PY0000270,B00270,2024-01,5,4,1,15876.69,3175.34,28.5,Gusto
PY0000271,B00271,2024-01,1,1,0,8565.43,8565.43,50.7,ADP
PY0000272,B00272,2024-01,17,14,3,99643.05,5861.36,59.4,ADP
PY0000273,B00273,2024-01,14,11,3,51285.83,3663.27,22.7,ADP
PY0000274,B00274,2024-01,12,9,3,48243.8,4020.32,4.5,Paychex
PY0000275,B00275,2024-01,52,32,20,315306.86,6063.59,53.8,manual
PY0000276,B00276,2024-01,10,6,4,29156.27,2915.63,28.8,ADP
PY0000277,B00277,2024-01,16,11,5,97832.7,6114.54,75.2,ADP
PY0000278,B00278,2024-01,8,5,3,56865.09,7108.14,5.6,Gusto
PY0000279,B00279,2024-01,1,1,0,6383.88,6383.88,18.4,QuickBooks
PY0000280,B00280,2024-01,25,19,6,126760.75,5070.43,70.4,ADP
PY0000281,B00281,2024-01,1,1,0,9406.74,9406.74,55.8,Paychex
PY0000282,B00282,2024-01,2,1,1,15270.14,7635.07,45.1,ADP
PY0000283,B00283,2024-01,3,2,1,18753.96,6251.32,76.5,ADP
PY0000284,B00284,2024-01,3,2,1,9755.15,3251.72,45.0,ADP
PY0000285,B00285,2024-01,7,4,3,39813.14,5687.59,1.9,Gusto
PY0000286,B00286,2024-01,2,1,1,11767.51,5883.76,26.7,ADP
PY0000287,B00287,2024-01,3,2,1,17841.71,5947.24,21.4,Paychex
PY0000288,B00288,2024-01,6,5,1,36213.67,6035.61,39.1,Paychex
PY0000289,B00289,2024-01,1,1,0,8102.72,8102.72,78.7,Paychex
PY0000290,B00290,2024-01,2,2,0,15251.07,7625.54,34.7,QuickBooks
PY0000291,B00291,2024-01,3,2,1,18341.99,6114.0,5.1,Paychex
PY0000292,B00292,2024-01,7,5,2,26834.25,3833.46,73.3,QuickBooks
PY0000293,B00293,2024-01,9,6,3,36968.69,4107.63,48.4,Paychex
PY0000294,B00294,2024-01,2,1,1,19804.49,9902.25,56.5,Paychex
PY0000295,B00295,2024-01,1,1,0,6156.98,6156.98,19.5,ADP
PY0000296,B00296,2024-01,2,1,1,10387.28,5193.64,68.5,Paychex
PY0000297,B00297,2024-01,15,12,3,93884.83,6258.99,22.5,Gusto
PY0000298,B00298,2024-01,11,7,4,38453.88,3495.81,46.0,ADP
PY0000299,B00299,2024-01,9,5,4,31236.69,3470.74,26.6,ADP
PY0000300,B00300,2024-01,35,30,5,198349.55,5667.13,64.9,ADP
PY0000301,B00301,2024-01,6,5,1,27056.5,4509.42,63.6,ADP
PY0000302,B00302,2024-01,3,2,1,7701.46,2567.15,25.0,Gusto
PY0000303,B00303,2024-01,1,1,0,17545.21,17545.21,76.1,QuickBooks
PY0000304,B00304,2024-01,2,1,1,21000.92,10500.46,60.0,Paychex
PY0000305,B00305,2024-01,1,1,0,12805.07,12805.07,39.2,Paychex
PY0000306,B00306,2024-01,4,2,2,24401.11,6100.28,67.3,Paychex
PY0000307,B00307,2024-01,3,2,1,12267.11,4089.04,49.4,Paychex
PY0000308,B00308,2024-01,5,3,2,18382.76,3676.55,15.9,ADP
PY0000309,B00309,2024-01,1,1,0,7991.57,7991.57,35.9,ADP
PY0000310,B00310,2024-01,1,1,0,14544.55,14544.55,42.1,Gusto
PY0000311,B00311,2024-01,33,27,6,179483.27,5438.89,14.3,Paychex
PY0000312,B00312,2024-01,4,3,1,30581.86,7645.47,61.8,ADP
PY0000313,B00313,2024-01,8,5,3,23664.52,2958.07,60.0,Gusto
PY0000314,B00314,2024-01,7,6,1,33340.33,4762.9,29.7,ADP
PY0000315,B00315,2024-01,7,5,2,17594.79,2513.54,29.3,Gusto
PY0000316,B00316,2024-01,9,7,2,38176.72,4241.86,48.1,ADP
PY0000317,B00317,2024-01,23,17,6,144295.91,6273.74,35.1,Gusto
PY0000318,B00318,2024-01,11,8,3,29980.45,2725.5,20.4,Paychex
PY0000319,B00319,2024-01,3,2,1,8967.13,2989.04,3.3,Gusto
PY0000320,B00320,2024-01,3,2,1,8835.04,2945.01,24.7,ADP
PY0000321,B00321,2024-01,35,21,14,110578.35,3159.38,4.5,ADP
PY0000322,B00322,2024-01,2,1,1,17263.28,8631.64,22.0,ADP
PY0000323,B00323,2024-01,12,9,3,68301.0,5691.75,5.3,Paychex
PY0000324,B00324,2024-01,5,4,1,14767.59,2953.52,39.4,Gusto
PY0000325,B00325,2024-01,12,8,4,77566.4,6463.87,20.1,Gusto
PY0000326,B00326,2024-01,16,12,4,66361.04,4147.56,38.8,Gusto
PY0000327,B00327,2024-01,1,1,0,17550.53,17550.53,27.4,Paychex
PY0000328,B00328,2024-01,5,4,1,17725.71,3545.14,7.9,Gusto
PY0000329,B00329,2024-01,4,3,1,19811.23,4952.81,20.1,Paychex
PY0000330,B00330,2024-01,11,8,3,45647.11,4149.74,77.8,QuickBooks
PY0000331,B00331,2024-01,16,10,6,94385.95,5899.12,59.3,Gusto
PY0000332,B00332,2024-01,4,3,1,15860.19,3965.05,54.8,ADP
PY0000333,B00333,2024-01,20,14,6,88755.18,4437.76,41.7,Gusto
PY0000334,B00334,2024-01,4,2,2,28856.37,7214.09,11.7,QuickBooks
PY0000335,B00335,2024-01,1,1,0,5629.6,5629.6,74.2,Paychex
PY0000336,B00336,2024-01,4,2,2,23081.43,5770.36,26.6,Paychex
PY0000337,B00337,2024-01,5,3,2,31329.27,6265.85,75.8,Paychex
PY0000338,B00338,2024-01,7,6,1,26311.09,3758.73,17.3,ADP
PY0000339,B00339,2024-01,21,14,7,64461.15,3069.58,72.2,QuickBooks
PY0000340,B00340,2024-01,5,4,1,25694.08,5138.82,9.7,ADP
PY0000341,B00341,2024-01,15,12,3,82309.27,5487.28,64.3,ADP
PY0000342,B00342,2024-01,9,6,3,33698.77,3744.31,54.1,ADP
PY0000343,B00343,2024-01,7,6,1,47995.55,6856.51,77.1,ADP
PY0000344,B00344,2024-01,7,4,3,40923.42,5846.2,47.4,Gusto
PY0000345,B00345,2024-01,1,1,0,17358.87,17358.87,1.4,Paychex
PY0000346,B00346,2024-01,15,11,4,66454.45,4430.3,75.8,Paychex
PY0000347,B00347,2024-01,1,1,0,14608.68,14608.68,71.9,ADP
PY0000348,B00348,2024-01,3,2,1,11230.99,3743.66,14.6,Paychex
